CaseId,TimestampLocal,EventType,ActiveWindow,MousePositionX,MousePositionY,ScreenshotId,Enabled Activities,Activity
1,08:51:33,Left click,Dropbox - Login,1518,149,1_login.png,View user profile; Sign in to your account; Upload files; Connect to a file server; Set up a new plan; Create new account; Log in to your account; Enter email for login; View global files; Start using cloud storage,Log in to your account
1,08:51:34,Left click,Dropbox - Login,923,681,2_email_enter.png,Sign in to your account; Upload files; Open file manager; Continue with search; View global files; Continue with login; Save file; Enter email address; Continue using Apple services,Enter email address
1,08:51:35,Left click,Dropbox - Login,1087,801,3_email_continue.png,Sign in to your account; Save file for later; Continue with search; Continue with login; Connect to dropbox account; View global files; Continue with your login; Enter email address,Continue with login
1,08:51:37,Left click,Dropbox - Login,916,499,4_password_enter.png,Connect to a file server; Upload files; Mark as favorite; Log in to your account; Access all login settings; Enter password; View global files; Enter new password,Enter new password
1,08:51:39,Left click,Dropbox - Login,1137,645,5_password_continue.png,Connect to a file server; Upload files; Mark as favorite; Log in to your account; Access all login settings; Enter password; View global files; Enter new password,Log in to your account
1,08:51:41,Left click,Dropbox - Folder,664,687,6_create_folder_btn.png,Open all files; Install software; Add new file; Go to previous folder; Delete folder; Move to specific folder; Update folder permissions; Share files with friends; Add new folder; Go to next folder; Upload new file; Explore privacy options; View folder details; Scan files; Enter search query; View notifications; Download photos; Remove file; Set folder time; Update app requirements; Enter new file request; upload file; Share files with others; View file information; Go to home screen; Add folder to dropbox; View file details; Enter signature; Scan barcode; Uplodify folder,Add new file
1,08:51:42,Left click,Dropbox - Folder,640,412,7_enter_foldername.png,Set up email campaign; Enter new folder name; View file list; Search for files; Move to specific folder; View folder privacy; Instal application; Add file to folder; Create new automation; View all files; Add new folder; Delete file; View photos; Upload new file; View folder details; Modify folder settings; Cancel file transfer; Create new folder; View folder information; View notifications; Collect feedback on file sharing; Remove file; upload file; Go to previous page; Share files with others; View file information; Update plan; Add file; Go to home screen; Add folder to dropbox; Abort file transfer; Enter file request details; Enter signature; Open file; Open folder; Install application,Enter new folder name
1,08:51:44,Left click,Dropbox - Folder,591,562,8_check_folder_option.png,Open all files; Enter new folder name; Abort folder move; Search for files; Update folder permissions; Create new automation; Add file to library; Enter new content; Update app settings; Add new folder; Mark as complete; Delete file; View photos; Upload new file; Go to home page; View folder details; Explore privacy options; Cancel file transfer; Create new folder; Share file with team; View notifications; Remove file; Upload file; upload file; Go to previous page; Add file; View file information; Set up automated folders; Add folder to dropbox; Enter file request details; Enter signature; Install application,Set up automated folders
1,08:51:45,Left click,Dropbox - Folder,1319,716,9_submit_create_folder.png,Go to previous folder; Enter new folder name; Search for files; Create new automation; Add file to library; Enter new content; Update app settings; Add new folder; Upload files; Mark as complete; Enter signature for file; Delete file; Explore security guidelines; Upload new file; View folder details; Cancel file transfer; Modify folder settings; Create new folder; Open all files in folder; Set up automated file conversion; View notifications; Remove file; upload file; Go to previous page; Add file; View file information; Share files with others; View photos in folder; Add folder to dropbox; Go to home screen; Abort file transfer; Enter file request details; Add folder to drop box; Install application; Add file to dropbox; Add file to drop box,Create new folder
1,08:51:47,Left click,Dropbox - Upload,504,263,10_upload.png,Uplodify files; Add new file; Uplaod files; Uplogoize your file uploads; Share files with friends; Import files to Google drive; Set up time tracking; Uplift productivity; Mark as complete; Delete file; Create hyperlink; View file upload progress; Check file permissions; Update file details; Share file with team; Enter search query; View notifications; Uplock file system; View file privacy; Download photos; Go to previous file; Access files and folders on your computer; Create new file; View file information; Uplock files; Add file share permission; Update plan; Go to home screen; Go to next file; Organize files in dropbox; Add files to drop box; Enter file request details; Enter signature; Add file to dropbox,Uplodify files
1,08:51:48,Left click,Dropbox - Share,1507,272,11_share_btn.png,Access shared files; Open all files; Add new file; View file permissions; Change radio button settings; Add file to share; Fork repository; Add content to file; Upload photos; Upload files; Mark as complete; Go to next page; Copy file to clipboard; Delete file; Import files from a remote server; Explore privacy options; Create hyperlink; Share file with others; View file and folder details; Save file; Update file details; Enter search query; View notifications; Enter file request; upload file; Update storage plan; Go to previous page; Share files with others; View file information; Organize files and folders; Go to home screen; Enter signature; Track time spent on tasks,Add file to share
1,08:51:49,Left click,Dropbox - Share,700,540,12_share_add_recipient.png,Update file permissions; Access shared files; Sign up for a new account; Open all files; Add new file; View file permissions; Search for files; Enter new email address; Add content to file; Import files to Google drive; Upload photos; Share files and folders; Copy file name; Delete file; Copy file to share; Rename file; View notifications; Remove file; View privacy settings; Upload file; Go to previous page; Share files with others; View file information; Update plan; Go to home screen; Add files to drop box; View file details; Open file; Enter signature,Enter new email address
1,08:51:50,Left click,Dropbox - Share,1224,745,13_submit_share.png,Open all files; Set file location; Add content to file; View file shares; Import files to Google drive; Enter email address; Upload photos; Share files and folders; Mark as complete; Go to next page; Copy file name; Delete file; Explore privacy options; Search files and folders; Share file with others; View file and folder details; Update file details; View notifications; Remove file; Enter file request; Access files and folders on your computer; Upload file; Update storage plan; Go to previous page; Share files with others; View file information; Go to home screen; Enter signature,Share files and folders
1,08:51:51,Left click,Dropbox - Share,1473,279,14_copy_share_link.png,Update file permissions; Abort action; Set up file storage; Add new file; Open file list; U upload file; Upload files; Mark as complete; Go to next page; Delete file; Explore privacy options; Save file; View notifications; Download photos; Remove file; Enter new file request; upload file; Upload file; Go to previous page; Share files with others; View file information; Update plan; Enter query; Edit content; Access account information; Open file manager; Go to home screen; View file details; Enter signature; Create new link,Create new link
2,08:51:52,Left click,Dropbox - Folder,664,687,15_create_folder_btn.png,Open all files; Install software; Add new file; Go to previous folder; Delete folder; Move to specific folder; Update folder permissions; Share files with friends; Add new folder; Go to next folder; Upload new file; Explore privacy options; View folder details; Scan files; Enter search query; View notifications; Download photos; Remove file; Set folder time; Update app requirements; Enter new file request; upload file; Share files with others; View file information; Go to home screen; Add folder to dropbox; View file details; Enter signature; Scan barcode; Uplodify folder,Add new file
2,08:51:53,Left click,Dropbox - Folder,640,412,16_enter_foldername.png,Set up email campaign; Enter new folder name; View file list; Search for files; Move to specific folder; View folder privacy; Instal application; Add file to folder; Create new automation; View all files; Add new folder; Delete file; View photos; Upload new file; View folder details; Modify folder settings; Cancel file transfer; Create new folder; View folder information; View notifications; Collect feedback on file sharing; Remove file; upload file; Go to previous page; Share files with others; View file information; Update plan; Add file; Go to home screen; Add folder to dropbox; Abort file transfer; Enter file request details; Enter signature; Open file; Open folder; Install application,Enter new folder name
2,08:51:55,Left click,Dropbox - Folder,591,562,17_check_folder_option.png,Open all files; Enter new folder name; Abort folder move; Search for files; Update folder permissions; Create new automation; Add file to library; Enter new content; Update app settings; Add new folder; Mark as complete; Delete file; View photos; Upload new file; Go to home page; View folder details; Explore privacy options; Cancel file transfer; Create new folder; Share file with team; View notifications; Remove file; Upload file; upload file; Go to previous page; Add file; View file information; Set up automated folders; Add folder to dropbox; Enter file request details; Enter signature; Install application,Set up automated folders
2,08:51:56,Left click,Dropbox - Folder,1319,716,18_submit_create_folder.png,Go to previous folder; Enter new folder name; Search for files; Create new automation; Add file to library; Enter new content; Update app settings; Add new folder; Upload files; Mark as complete; Enter signature for file; Delete file; Explore security guidelines; Upload new file; View folder details; Cancel file transfer; Modify folder settings; Create new folder; Open all files in folder; Set up automated file conversion; View notifications; Remove file; upload file; Go to previous page; Add file; View file information; Share files with others; View photos in folder; Add folder to dropbox; Go to home screen; Abort file transfer; Enter file request details; Add folder to drop box; Install application; Add file to dropbox; Add file to drop box,Create new folder
2,08:51:57,Left click,Dropbox - Upload,504,263,19_upload.png,Uplodify files; Add new file; Uplaod files; Uplogoize your file uploads; Share files with friends; Import files to Google drive; Set up time tracking; Uplift productivity; Mark as complete; Delete file; Create hyperlink; View file upload progress; Check file permissions; Update file details; Share file with team; Enter search query; View notifications; Uplock file system; View file privacy; Download photos; Go to previous file; Access files and folders on your computer; Create new file; View file information; Uplock files; Add file share permission; Update plan; Go to home screen; Go to next file; Organize files in dropbox; Add files to drop box; Enter file request details; Enter signature; Add file to dropbox,Uplodify files
2,08:51:58,Left click,Dropbox - Upload,504,263,20_upload.png,Uplodify files; Add new file; Uplaod files; Uplogoize your file uploads; Share files with friends; Import files to Google drive; Set up time tracking; Uplift productivity; Mark as complete; Delete file; Create hyperlink; View file upload progress; Check file permissions; Update file details; Share file with team; Enter search query; View notifications; Uplock file system; View file privacy; Download photos; Go to previous file; Access files and folders on your computer; Create new file; View file information; Uplock files; Add file share permission; Update plan; Go to home screen; Go to next file; Organize files in dropbox; Add files to drop box; Enter file request details; Enter signature; Add file to dropbox,Uplodify files
2,08:51:59,Left click,Dropbox - Upload,504,263,21_upload.png,Uplodify files; Add new file; Uplaod files; Uplogoize your file uploads; Share files with friends; Import files to Google drive; Set up time tracking; Uplift productivity; Mark as complete; Delete file; Create hyperlink; View file upload progress; Check file permissions; Update file details; Share file with team; Enter search query; View notifications; Uplock file system; View file privacy; Download photos; Go to previous file; Access files and folders on your computer; Create new file; View file information; Uplock files; Add file share permission; Update plan; Go to home screen; Go to next file; Organize files in dropbox; Add files to drop box; Enter file request details; Enter signature; Add file to dropbox,Uplodify files
